ID=STRG.10.1.exon1;Parent=STRG.10.1	0
ID=STRG.10.1.exon2;Parent=STRG.10.1	0
ID=STRG.10.1.exon3;Parent=STRG.10.1	0
ID=STRG.10.1.exon4;Parent=STRG.10.1	0
ID=STRG.10.1.exon5;Parent=STRG.10.1	0
ID=STRG.1000.1.exon1;Parent=STRG.1000.1	0
ID=STRG.1000.1.exon2;Parent=STRG.1000.1	0
ID=STRG.1000.1.exon3;Parent=STRG.1000.1	0
ID=STRG.1000.1.exon4;Parent=STRG.1000.1	0
ID=STRG.10002.3.exon1;Parent=STRG.10002.3	0
ID=STRG.10002.3.exon2;Parent=STRG.10002.3	0
ID=STRG.10002.3.exon3;Parent=STRG.10002.3	1	DNA/TcMar-Pogo
ID=STRG.10003.1.exon1;Parent=STRG.10003.1	0
ID=STRG.10003.1.exon2;Parent=STRG.10003.1	0
ID=STRG.10003.1.exon3;Parent=STRG.10003.1	0
ID=STRG.10004.1.exon1;Parent=STRG.10004.1	0
ID=STRG.10004.1.exon2;Parent=STRG.10004.1	0
ID=STRG.10004.1.exon3;Parent=STRG.10004.1	0
ID=STRG.10005.1.exon1;Parent=STRG.10005.1	0
ID=STRG.10005.1.exon2;Parent=STRG.10005.1	0
ID=STRG.10005.1.exon3;Parent=STRG.10005.1	0
ID=STRG.10005.1.exon4;Parent=STRG.10005.1	0
ID=STRG.10005.1.exon5;Parent=STRG.10005.1	0
ID=STRG.10005.1.exon6;Parent=STRG.10005.1	0
ID=STRG.10006.1.exon1;Parent=STRG.10006.1	0
ID=STRG.10006.1.exon2;Parent=STRG.10006.1	0
ID=STRG.10006.1.exon3;Parent=STRG.10006.1	0
ID=STRG.10007.1.exon1;Parent=STRG.10007.1	0
ID=STRG.10007.1.exon2;Parent=STRG.10007.1	0
ID=STRG.10007.1.exon3;Parent=STRG.10007.1	0
ID=STRG.10008.1.exon1;Parent=STRG.10008.1	0
ID=STRG.10008.1.exon2;Parent=STRG.10008.1	0
ID=STRG.10008.1.exon3;Parent=STRG.10008.1	0
ID=STRG.10008.1.exon4;Parent=STRG.10008.1	0
ID=STRG.10008.1.exon5;Parent=STRG.10008.1	0
ID=STRG.10008.1.exon6;Parent=STRG.10008.1	0
ID=STRG.10008.1.exon7;Parent=STRG.10008.1	0
ID=STRG.10008.1.exon8;Parent=STRG.10008.1	0
ID=STRG.1001.1.exon1;Parent=STRG.1001.1	0
